model,dataset,bin,n,events,mean_predicted_probability,observed_event_proportion,observed_wilson_lower_95,observed_wilson_upper_95
Logistic A-only,Primary ID-isolated Wave 3 common subset,1,243,21,0.1612636706397255,0.08641975308641975,0.05721756567899235,0.12849458753751167
Logistic A-only,Primary ID-isolated Wave 3 common subset,2,244,41,0.24469359507247426,0.1680327868852459,0.12634555929373692,0.22001077361825522
Logistic A-only,Primary ID-isolated Wave 3 common subset,3,242,51,0.2925174548001724,0.21074380165289255,0.16408284718823982,0.26644445007243167
Logistic A-only,Primary ID-isolated Wave 3 common subset,4,243,47,0.32883636815171735,0.1934156378600823,0.1486832972473966,0.24769038847031039
Logistic A-only,Primary ID-isolated Wave 3 common subset,5,262,56,0.3675022778848096,0.21374045801526717,0.1684245230143215,0.2673294009017647
Logistic A-only,Primary ID-isolated Wave 3 common subset,6,224,78,0.39587738789778854,0.3482142857142857,0.28886086867908456,0.4126859860857701
Logistic A-only,Primary ID-isolated Wave 3 common subset,7,260,81,0.425728976782074,0.31153846153846154,0.25833304319711065,0.37023177584976813
Logistic A-only,Primary ID-isolated Wave 3 common subset,8,227,71,0.454719180480654,0.31277533039647576,0.25600220054439005,0.3757797140465081
Logistic A-only,Primary ID-isolated Wave 3 common subset,9,246,97,0.5021884926004281,0.3943089430894309,0.33531401823327767,0.4565539918021614
Logistic A-only,Primary ID-isolated Wave 3 common subset,10,239,140,0.6572593995815105,0.5857740585774058,0.5224482123716345,0.6463862205917787
XGBoost A+B,Primary ID-isolated Wave 3 common subset,1,243,34,0.15844628659670784,0.13991769547325103,0.10188432764214118,0.1891585918249643
XGBoost A+B,Primary ID-isolated Wave 3 common subset,2,243,35,0.23963179827160494,0.1440329218106996,0.10542127161442891,0.19372401448733825
XGBoost A+B,Primary ID-isolated Wave 3 common subset,3,243,48,0.28420613818930035,0.19753086419753085,0.15234815114847877,0.2521279012038898
XGBoost A+B,Primary ID-isolated Wave 3 common subset,4,243,48,0.3206204009053498,0.19753086419753085,0.15234815114847877,0.2521279012038898
XGBoost A+B,Primary ID-isolated Wave 3 common subset,5,243,65,0.35435355765432097,0.2674897119341564,0.21576933012646343,0.32644695501515325
XGBoost A+B,Primary ID-isolated Wave 3 common subset,6,243,71,0.3850630579835391,0.29218106995884774,0.238591382414226,0.35223910253536056
XGBoost A+B,Primary ID-isolated Wave 3 common subset,7,243,73,0.4180500424691358,0.3004115226337449,0.2462435122148549,0.360791706004055
XGBoost A+B,Primary ID-isolated Wave 3 common subset,8,243,80,0.46206482419753087,0.3292181069958848,0.27319220052164644,0.39055958413989494
XGBoost A+B,Primary ID-isolated Wave 3 common subset,9,243,87,0.5311884783539095,0.35802469135802467,0.30038600856123654,0.4200823425429364
XGBoost A+B,Primary ID-isolated Wave 3 common subset,10,243,142,0.6812976102057613,0.5843621399176955,0.5215547086250495,0.6445438073855144
